31	15	16	41	49	38	2	54												
28	33	33	57	6	13	49	38												
33	26	6	2	53	45	57	46												
17	54	51	50	56	6	7	27												
46	19	58	47	23	2	23	37												
18	25	5	15	32	51	54	35												
23	26	8	16	40	34	25	37												
28	8	55	10	45	11	48	1												
51	59	38	54	34	29	22	47												
26	24	5	31	45	12	11	25												
37	49	42	9	41	60	53	27												
46	30	10	46	49	3	54	14												
46	34	40	41	24	34	5	31												
48	57	13	37	53	11	23	16												
8	22	35	38	51	31	18	47												
51	42	6	18	53	15	12	35												
26	56	19	29	25	41	51	16												
3	28	19	55	21	23	33	2												
11	11	30	6	30	36	5	19												
19	54	19	45	13	37	21	43												
1	17	48	37	8	21	13	7												
41	57	1	36	33	36	42	44												
17	39	49	50	5	27	20	11												
38	30	11	45	39	48	4	32												
21	53	57	20	24	48	10	30												
26	31	51	16	5	60	52	9												
33	20	19	15	22	18	32	36												
34	60	27	29	39	13	50	39												
28	28	12	57	11	42	25	9												
36	8	45	29	59	52	23	58												
29	27	45	1	35	41	5	36												
34	35	4	33	26	2	59	42												
49	20	18	33	14	10	3	4												
36	6	31	57	27	8	21	43												
13	24	25	6	38	46	11	33												
25	42	15	42	18	34	3	29												
32	16	38	16	5	48	3	1												
17	13	51	20	36	45	15	6												
55	50	42	4	3	39	9	20												
29	43	54	9	28	14	16	53												
30	24	1	4	1	33	41	1												
54	24	41	53	6	3	18	45												
51	40	18	53	11	49	1	1												
26	27	55	58	19	56	20	44												
32	11	56	49	23	25	25	12												
6	3	17	23	19	49	19	55												
33	34	54	37	53	30	30	51												
57	41	7	7	28	13	14	56												
14	22	13	40	52	10	46	10												
43	33	38	9	27	54	12	30												
37	25	52	59	51	48	46	4												
19	11	60	46	29	49	30	43												
57	18	40	8	40	27	14	27												
9	45	59	14	50	50	42	47												
20	40	32	28	29	4	23	17												
44	11	29	27	43	37	6	45												
59	42	2	22	35	8	30	15												
56	14	47	6	1	41	6	54												
47	41	15	27	33	29	27	29												
5	46	54	18	34	55	22	42												
60	49	8	43	18	49	29	56												
24	26	43	21	45	21	30	48												
10	55	31	47	29	57	59	6												
41	46	2	43	56	38	46	40												
31	13	13	33	10	30	25	8												
59	11	19	52	34	46	15	2												
49	44	40	20	57	49	34	38												
34	56	12	24	14	38	48	20												
3	56	44	15	19	16	34	29												
58	20	32	60	25	55	42	21												
52	5	17	60	20	39	18	56												
20	37	8	33	2	43	22	40												
