43	92	31	65	2	2	86										
50	56	81	73	92	48	76										
13	77	99	21	47	56	6										
60	94	47	1	75	99	70										
44	8	18	99	74	89	73										
51	44	94	32	68	78	80										
80	87	70	50	65	41	1										
42	78	71	85	62	8	38										
40	75	74	36	93	80	77										
48	51	84	55	23	20	80										
78	36	85	33	29	50	30										
19	90	56	52	53	84	72										
50	3	90	38	31	60	28										
55	91	43	6	66	68	74										
85	84	84	30	29	37	49										
34	68	57	97	20	41	80										
32	85	2	3	52	19	4										
82	10	98	18	55	34	55										
18	6	92	96	10	14	29										
14	18	1	74	37	35	22										
78	7	14	24	54	48	74										
11	30	36	51	89	89	48										
77	83	7	66	34	70	92										
75	63	53	19	67	15	66										
79	39	52	36	91	88	70										
87	49	52	29	81	58	42										
93	92	58	44	36	53	56										
73	19	67	100	85	89	50										
68	42	17	18	47	25	19										
37	55	71	80	55	47	27										
17	43	91	1	85	38	85										
42	34	64	52	31	16	67										
71	8	93	100	73	37	81										
82	91	21	46	51	12	85										
12	71	42	98	93	68	90										
35	13	69	45	67	63	94										
61	15	38	88	27	45	94										
99	2	49	51	92	43	59										
58	14	25	43	84	67	66										
34	78	26	63	91	36	81										
66	43	25	71	96	58	46										
56	54	2	3	85	17	88										
88	100	29	8	59	42	21										
4	99	14	6	80	29	59										
38	90	32	70	97	34	6										
29	7	59	40	33	63	92										
2	61	55	50	19	94	38										
79	70	91	20	42	40	41										
6	91	74	18	73	93	72										
7	61	41	100	52	8	49										
93	7	11	84	48	41	90										
77	36	21	31	6	36	74										
79	5	58	2	67	49	13										
56	91	100	15	15	88	15										
23	94	3	48	99	65	79										
68	3	55	60	85	52	69										
15	41	6	75	78	2	88										
98	76	10	82	96	91	75										
4	39	94	5	62	32	86										
27	53	64	72	93	96	35										
43	100	50	83	13	46	42										
28	69	82	65	37	57	72										
21	90	42	31	46	6	70										
43	30	77	19	88	42	92										
34	58	51	21	49	9	100										
30	55	88	88	75	73	83										
41	10	72	44	88	56	86										
54	16	60	40	36	4	41										
31	18	37	52	35	25	87										
2	52	54	52	30	100	72										
93	51	59	63	32	4	4										
29	3	55	34	24	66	7										
62	53	45	87	79	8	69										
29	74	9	88	100	18	88										
72	81	12	94	66	24	22										
10	17	78	96	25	49	83										
30	25	30	73	25	34	25										
49	29	96	62	79	82	79										
16	35	49	66	51	91	33										
10	44	55	81	66	20	90										
49	86	67	51	15	26	68										
12	15	15	12	76	40	19										
12	29	6	27	37	21	90										
93	45	61	25	82	11	48										
79	34	97	9	52	25	51										
35	72	1	55	6	56	34										
20	66	46	26	16	71	44										
3	51	60	62	74	32	33										
80	44	39	42	52	98	7										
83	68	27	3	13	50	68										
25	74	96	79	78	71	10										
7	34	39	35	56	72	1										
69	49	74	21	39	32	2										
26	35	5	73	34	94	100										
63	48	95	43	92	72	95										
47	24	93	91	20	82	43										
78	92	65	67	87	5	58										
18	19	51	15	35	33	7										
7	8	45	98	90	91	14										
58	81	51	91	60	9	44										
8	32	32	45	43	75	74										
79	9	74	45	49	65	58										
57	92	94	59	18	43	5										
42	72	14	55	58	66	3										
85	4	87	87	88	97	56										
59	85	91	61	78	10	52										
2	44	66	52	91	80	95										
3	8	72	85	86	76	33										
29	62	61	94	11	12	64										
1	63	56	40	100	81	24										
60	75	40	79	72	12	55										
21	48	73	18	80	25	60										
70	95	6	21	74	32	83										
3	81	51	29	44	86	69										
84	94	36	38	17	96	80										
9	63	95	68	75	38	72										
71	75	40	4	71	29	64										
32	66	40	96	37	78	3										
66	53	31	13	31	78	91										
32	20	2	83	54	51	91										
33	32	87	5	56	51	87										
60	6	98	95	81	85	75										
56	55	25	85	9	43	56										
35	38	26	20	44	72	92										
1	35	94	4	28	35	29										
47	26	100	63	48	71	8										
33	21	87	27	95	23	28										
42	14	20	47	61	31	30										
64	56	10	19	19	41	31										
6	8	89	22	97	3	10										
17	5	11	36	90	60	69										
8	87	19	32	46	29	56										
79	24	3	58	94	23	53										
16	70	59	92	30	36	51										
5	40	45	93	45	96	90										
81	75	34	50	99	40	25										
51	98	21	58	94	90	99										
46	77	92	43	29	84	83										
78	36	60	93	51	77	7										
35	81	98	27	42	46	32										
96	42	94	21	73	7	9										
25	97	42	91	54	31	70										
2	5	75	78	46	8	96										
24	62	5	40	60	33	74										
8	32	73	20	21	18	65										
75	12	91	26	71	79	8										
9	73	99	58	5	64	18										
89	2	40	73	67	37	57										
24	7	49	10	31	70	100										
20	6	94	35	94	80	18										
99	51	65	34	46	23	9										
21	24	81	82	97	46	27										
50	95	74	62	24	70	43										
6	50	44	59	7	55	59										
87	37	39	9	89	12	87										
1	90	44	69	95	4	25										
52	40	88	100	22	2	70										
40	46	69	30	72	84	5										
40	33	7	21	6	61	96										
61	5	74	33	42	32	54										
62	84	25	9	26	91	26										
44	68	55	8	27	79	58										
61	24	23	51	84	69	5										
80	77	86	74	47	68	8										
21	81	69	60	38	39	35										
78	71	79	25	85	43	51										
31	62	79	9	3	84	73										
84	61	80	13	43	91	37										
66	27	93	45	80	42	63										
76	84	74	1	66	37	27										
81	38	83	4	44	57	71										
55	100	52	96	47	1	67										
37	79	84	48	48	63	47										
60	12	40	1	97	64	38										
